name,ages,errors,site,lat,lon,group average,group std_dev,group std_error,x_3413,y_3413
PEA0721,12371,617,HENSON,83.6135,-32.9113,12401,,,145031.63895553554,-677163.7199358287
PEA0721,12371,617,HENSON,83.6135,-32.9113,12371,,,145031.63895553554,-677163.7199358287
WM-006,11111,702,HUMB2,79.922,-63.74,11111,,,-351612.8795449219,-1036412.3886621126
WM-006,11111,702,HUMB2,79.922,-63.74,7868,,,-351612.8795449219,-1036412.3886621126
WM-006,11111,702,HUMB2,79.922,-63.74,8734,,,-351612.8795449219,-1036412.3886621126
WM-006,11111,702,HUMB2,79.922,-63.74,11294,,,-351612.8795449219,-1036412.3886621126
WM-006,11111,702,HUMB2,79.922,-63.74,8372,,,-351612.8795449219,-1036412.3886621126
WM-006,11111,702,HUMB2,79.922,-63.74,7542,,,-351612.8795449219,-1036412.3886621126
WM-005,7868,249,HUMB2,79.923,-63.748,11111,,,-351722.50970867387,-1036259.9391408272
WM-005,7868,249,HUMB2,79.923,-63.748,7868,,,-351722.50970867387,-1036259.9391408272
WM-005,7868,249,HUMB2,79.923,-63.748,8734,,,-351722.50970867387,-1036259.9391408272
WM-005,7868,249,HUMB2,79.923,-63.748,11294,,,-351722.50970867387,-1036259.9391408272
WM-005,7868,249,HUMB2,79.923,-63.748,8372,,,-351722.50970867387,-1036259.9391408272
WM-005,7868,249,HUMB2,79.923,-63.748,7542,,,-351722.50970867387,-1036259.9391408272
WM-004,8734,341,HUMB2,79.923,-63.758,11111,,,-351903.36582916096,-1036198.5361995194
WM-004,8734,341,HUMB2,79.923,-63.758,7868,,,-351903.36582916096,-1036198.5361995194
WM-004,8734,341,HUMB2,79.923,-63.758,8734,,,-351903.36582916096,-1036198.5361995194
WM-004,8734,341,HUMB2,79.923,-63.758,11294,,,-351903.36582916096,-1036198.5361995194
WM-004,8734,341,HUMB2,79.923,-63.758,8372,,,-351903.36582916096,-1036198.5361995194
WM-004,8734,341,HUMB2,79.923,-63.758,7542,,,-351903.36582916096,-1036198.5361995194
WM-003,11294,734,HUMB2,79.923,-63.759,11111,,,-351921.4508517231,-1036192.394169315
WM-003,11294,734,HUMB2,79.923,-63.759,7868,,,-351921.4508517231,-1036192.394169315
WM-003,11294,734,HUMB2,79.923,-63.759,8734,,,-351921.4508517231,-1036192.394169315
WM-003,11294,734,HUMB2,79.923,-63.759,11294,,,-351921.4508517231,-1036192.394169315
WM-003,11294,734,HUMB2,79.923,-63.759,8372,,,-351921.4508517231,-1036192.394169315
WM-003,11294,734,HUMB2,79.923,-63.759,7542,,,-351921.4508517231,-1036192.394169315
WM-002,8372,358,HUMB2,79.923,-63.755,11111,,,-351849.110118321,-1036216.9603962601
WM-002,8372,358,HUMB2,79.923,-63.755,7868,,,-351849.110118321,-1036216.9603962601
WM-002,8372,358,HUMB2,79.923,-63.755,8734,,,-351849.110118321,-1036216.9603962601
WM-002,8372,358,HUMB2,79.923,-63.755,11294,,,-351849.110118321,-1036216.9603962601
