name,ages,errors,site,lat,lon,group average,group std_dev,group std_error
Kell2008-B-MKG-100,12212,540,Kell2008-B,71.513,-24.9358,11078,,
Kell2008-B-MKG-100,12212,540,Kell2008-B,71.513,-24.9358,11912,,
Kell2008-B-MKG-101,10851,445,Kell2008-B,71.513,-24.9358,11194,,
Kell2008-B-MKG-101,10851,445,Kell2008-B,71.513,-24.9358,12071,,
Kell2008-B-MKG-101,10851,445,Kell2008-B,71.513,-24.9358,11408,,
Kell2008-B-MKG-101,10851,445,Kell2008-B,71.513,-24.9358,11753,,
Kell2008-B-MKG-101,10851,445,Kell2008-B,71.513,-24.9358,12381,,
Kell2008-B-MKG-101,10851,445,Kell2008-B,71.513,-24.9358,12212,,
Kell2008-B-MKG-101,10851,445,Kell2008-B,71.513,-24.9358,10851,,
Kell2008-B-MKG-101,10851,445,Kell2008-B,71.513,-24.9358,12402,,
Kell2008-B-MKG-101,10851,445,Kell2008-B,71.513,-24.9358,11078,,
Kell2008-B-MKG-101,10851,445,Kell2008-B,71.513,-24.9358,11912,,
Kell2008-B-MKG-102,12402,300,Kell2008-B,71.51228,-24.9381,11194,,
Kell2008-B-MKG-102,12402,300,Kell2008-B,71.51228,-24.9381,12071,,
Kell2008-B-MKG-102,12402,300,Kell2008-B,71.51228,-24.9381,11408,,
Kell2008-B-MKG-102,12402,300,Kell2008-B,71.51228,-24.9381,11753,,
Kell2008-B-MKG-102,12402,300,Kell2008-B,71.51228,-24.9381,12381,,
Kell2008-B-MKG-102,12402,300,Kell2008-B,71.51228,-24.9381,12212,,
Kell2008-B-MKG-102,12402,300,Kell2008-B,71.51228,-24.9381,10851,,
Kell2008-B-MKG-102,12402,300,Kell2008-B,71.51228,-24.9381,12402,,
Kell2008-B-MKG-102,12402,300,Kell2008-B,71.51228,-24.9381,11078,,
Kell2008-B-MKG-102,12402,300,Kell2008-B,71.51228,-24.9381,11912,,
Kell2008-B-MKG-103,11078,274,Kell2008-B,71.51115,-24.93892,11194,,
Kell2008-B-MKG-103,11078,274,Kell2008-B,71.51115,-24.93892,12071,,
Kell2008-B-MKG-103,11078,274,Kell2008-B,71.51115,-24.93892,11408,,
Kell2008-B-MKG-103,11078,274,Kell2008-B,71.51115,-24.93892,11753,,
Kell2008-B-MKG-103,11078,274,Kell2008-B,71.51115,-24.93892,12381,,
Kell2008-B-MKG-103,11078,274,Kell2008-B,71.51115,-24.93892,12212,,
Kell2008-B-MKG-103,11078,274,Kell2008-B,71.51115,-24.93892,10851,,
Kell2008-B-MKG-103,11078,274,Kell2008-B,71.51115,-24.93892,12402,,
Kell2008-B-MKG-103,11078,274,Kell2008-B,71.51115,-24.93892,11078,,
Kell2008-B-MKG-103,11078,274,Kell2008-B,71.51115,-24.93892,11912,,
Kell2008-B-MKG-104,11912,293,Kell2008-B,71.5107,-24.9067,11194,,
Kell2008-B-MKG-104,11912,293,Kell2008-B,71.5107,-24.9067,12071,,
Kell2008-B-MKG-104,11912,293,Kell2008-B,71.5107,-24.9067,11408,,
Kell2008-B-MKG-104,11912,293,Kell2008-B,71.5107,-24.9067,11753,,
Kell2008-B-MKG-104,11912,293,Kell2008-B,71.5107,-24.9067,12381,,
Kell2008-B-MKG-104,11912,293,Kell2008-B,71.5107,-24.9067,12212,,
Kell2008-B-MKG-104,11912,293,Kell2008-B,71.5107,-24.9067,10851,,
Kell2008-B-MKG-104,11912,293,Kell2008-B,71.5107,-24.9067,12402,,
Kell2008-B-MKG-104,11912,293,Kell2008-B,71.5107,-24.9067,11078,,
Kell2008-B-MKG-104,11912,293,Kell2008-B,71.5107,-24.9067,11912,,
Kell2008-C-MKG-15,11994,280,Kell2008-C,71.40806,-24.70667,11994,,
KNSK-17GRO-66,9790,279,KNSK,64.2946,-49.7998,9790,,
KNSK-17GRO-66,9790,279,KNSK,64.2946,-49.7998,10410,,
KNSK-17GRO-66,9790,279,KNSK,64.2946,-49.7998,6726,,
KNSK-17GRO-66,9790,279,KNSK,64.2946,-49.7998,10453,,
KNSK-17GRO-66,9790,279,KNSK,64.2946,-49.7998,11160,,
KNSK-17GRO-66,9790,279,KNSK,64.2946,-49.7998,10106,,
KNSK-17GRO-64,10410,389,KNSK,64.2942,-49.8026,9790,,
KNSK-17GRO-64,10410,389,KNSK,64.2942,-49.8026,10410,,
KNSK-17GRO-64,10410,389,KNSK,64.2942,-49.8026,6726,,
KNSK-17GRO-64,10410,389,KNSK,64.2942,-49.8026,10453,,
KNSK-17GRO-64,10410,389,KNSK,64.2942,-49.8026,11160,,
KNSK-17GRO-64,10410,389,KNSK,64.2942,-49.8026,10106,,
KNSK-17GRO-63,6726,177,KNSK,64.29415,-49.80329,9790,,
KNSK-17GRO-63,6726,177,KNSK,64.29415,-49.80329,10410,,
KNSK-17GRO-63,6726,177,KNSK,64.29415,-49.80329,6726,,
KNSK-17GRO-63,6726,177,KNSK,64.29415,-49.80329,10453,,
KNSK-17GRO-63,6726,177,KNSK,64.29415,-49.80329,11160,,
KNSK-17GRO-63,6726,177,KNSK,64.29415,-49.80329,10106,,
KNSK-17GRO-59,10453,358,KNSK,64.29485,-49.79568,9790,,
KNSK-17GRO-59,10453,358,KNSK,64.29485,-49.79568,10410,,
KNSK-17GRO-59,10453,358,KNSK,64.29485,-49.79568,6726,,
KNSK-17GRO-59,10453,358,KNSK,64.29485,-49.79568,10453,,
KNSK-17GRO-59,10453,358,KNSK,64.29485,-49.79568,11160,,
KNSK-17GRO-59,10453,358,KNSK,64.29485,-49.79568,10106,,
KNSK-17GRO-58,11160,345,KNSK,64.29417,-49.79294,9790,,
KNSK-17GRO-58,11160,345,KNSK,64.29417,-49.79294,10410,,
KNSK-17GRO-58,11160,345,KNSK,64.29417,-49.79294,6726,,
KNSK-17GRO-58,11160,345,KNSK,64.29417,-49.79294,10453,,
KNSK-17GRO-58,11160,345,KNSK,64.29417,-49.79294,11160,,
KNSK-17GRO-58,11160,345,KNSK,64.29417,-49.79294,10106,,
KNSK-17GRO-56,10106,424,KNSK,64.29505,-49.78128,9790,,
KNSK-17GRO-56,10106,424,KNSK,64.29505,-49.78128,10410,,
KNSK-17GRO-56,10106,424,KNSK,64.29505,-49.78128,6726,,
KNSK-17GRO-56,10106,424,KNSK,64.29505,-49.78128,10453,,
KNSK-17GRO-56,10106,424,KNSK,64.29505,-49.78128,11160,,
KNSK-17GRO-56,10106,424,KNSK,64.29505,-49.78128,10106,,
LarsInpress-A-PEA-0719,12411,608,L2016-HB-M,83.614155,-32.945399,12411,,
LarsInpress-A-PEA-0719,12411,608,L2016-HB-M,83.614155,-32.945399,12372,,
LarsInpress-A-PEA-0721,12372,614,L2016-HB-M,83.613542,-32.911343,12411,,
LarsInpress-A-PEA-0721,12372,614,L2016-HB-M,83.613542,-32.911343,12372,,
GL1622,8583,538,LAMB2,79.1,-20.889,8583,,
GL1622,8583,538,LAMB2,79.1,-20.889,8921,,
GL1620,8921,484,LAMB2,79.101,-20.9,8583,,
GL1620,8921,484,LAMB2,79.101,-20.9,8921,,
Levy2014-A-MKG-161,10062,193,Levy2014-A,70.91,-25.595,10062,,
Levy2014-A-MKG-161,10062,193,Levy2014-A,70.91,-25.595,11216,,
Levy2014-A-MKG-161,10062,193,Levy2014-A,70.91,-25.595,10607,,
Levy2014-A-MKG-161a,11216,245,Levy2014-A,70.91,-25.595,10062,,
Levy2014-A-MKG-161a,11216,245,Levy2014-A,70.91,-25.595,11216,,
Levy2014-A-MKG-161a,11216,245,Levy2014-A,70.91,-25.595,10607,,
Levy2014-A-MKG-162,10607,185,Levy2014-A,70.91,-25.594,10062,,
Levy2014-A-MKG-162,10607,185,Levy2014-A,70.91,-25.594,11216,,
Levy2014-A-MKG-162,10607,185,Levy2014-A,70.91,-25.594,10607,,
Levy2014-B-MKG-160,9523,181,Levy2014-B,70.91,-25.596,9523,,
Levy2014-B-MKG-160,9523,181,Levy2014-B,70.91,-25.596,8311,,
Levy2014-B-LL1031,8311,159,Levy2014-B,70.909,-25.596,9523,,
Levy2014-B-LL1031,8311,159,Levy2014-B,70.909,-25.596,8311,,
LL-10-06,7090,133,LIVER-LIA,70.883,-22.26,7090,,
MKG-247,11539,301,LIVER-LOUT,70.888,-22.264,11539,,
MKG-247,11539,301,LIVER-LOUT,70.888,-22.264,12156,,
