Mean_Features,GP_Features,RMSE,R2
bed_elevation + distance_to_coast,signed_distance_to_margin + distance_to_coast + bed_slope,2115.5117,0.14683571
bed_elevation + distance_to_coast,signed_distance_to_margin + distance_to_coast + bed_roughness,2150.852,0.10534969
bed_elevation + distance_to_coast,signed_distance_to_margin + bed_slope + bed_roughness,2135.6423,0.118000716
bed_elevation + distance_to_coast,distance_to_coast + bed_slope + bed_roughness,2163.5615,0.09259227
bed_elevation + distance_to_coast,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope,2108.7446,0.13989678
bed_elevation + distance_to_coast,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_roughness,2149.2236,0.10716316
bed_elevation + distance_to_coast,bed_elevation + signed_distance_to_margin + bed_slope + bed_roughness,2128.3735,0.12060481
bed_elevation + distance_to_coast,bed_elevation + distance_to_coast + bed_slope + bed_roughness,2143.0356,0.109291494
bed_elevation + distance_to_coast,signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2158.5742,0.09904447
bed_elevation + distance_to_coast,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2156.3127,0.102189094
bed_elevation + bed_slope,None,2117.142,0.14804536
bed_elevation + bed_slope,bed_elevation,2115.4446,0.15265164
bed_elevation + bed_slope,signed_distance_to_margin,2052.7712,0.21663341
bed_elevation + bed_slope,distance_to_coast,2142.4214,0.122742385
bed_elevation + bed_slope,bed_slope,2156.945,0.10907745
bed_elevation + bed_slope,bed_roughness,2127.1284,0.13904539
bed_elevation + bed_slope,bed_elevation + signed_distance_to_margin,2052.7466,0.217426
bed_elevation + bed_slope,bed_elevation + distance_to_coast,2128.792,0.1371161
bed_elevation + bed_slope,bed_elevation + bed_slope,2120.3503,0.15009367
bed_elevation + bed_slope,bed_elevation + bed_roughness,2117.4712,0.1519222
bed_elevation + bed_slope,signed_distance_to_margin + distance_to_coast,2064.83,0.20703706
bed_elevation + bed_slope,signed_distance_to_margin + bed_slope,2064.7432,0.20966494
bed_elevation + bed_slope,signed_distance_to_margin + bed_roughness,2058.9404,0.21155465
bed_elevation + bed_slope,distance_to_coast + bed_slope,2153.8728,0.114782155
bed_elevation + bed_slope,distance_to_coast + bed_roughness,2146.5173,0.11984366
bed_elevation + bed_slope,bed_slope + bed_roughness,2136.7058,0.13264403
bed_elevation + bed_slope,bed_elevation + signed_distance_to_margin + distance_to_coast,2122.6826,0.14338738
bed_elevation + bed_slope,bed_elevation + signed_distance_to_margin + bed_slope,2104.29,0.16515121
bed_elevation + bed_slope,bed_elevation + signed_distance_to_margin + bed_roughness,2105.5068,0.16424176
bed_elevation + bed_slope,bed_elevation + distance_to_coast + bed_slope,2128.7156,0.13857684
bed_elevation + bed_slope,bed_elevation + distance_to_coast + bed_roughness,2127.206,0.14028561
bed_elevation + bed_slope,bed_elevation + bed_slope + bed_roughness,2117.7422,0.15358853
bed_elevation + bed_slope,signed_distance_to_margin + distance_to_coast + bed_slope,2077.4727,0.19665882
bed_elevation + bed_slope,signed_distance_to_margin + distance_to_coast + bed_roughness,2137.569,0.13053918
bed_elevation + bed_slope,signed_distance_to_margin + bed_slope + bed_roughness,2069.4014,0.20387033
bed_elevation + bed_slope,distance_to_coast + bed_slope + bed_roughness,2148.5933,0.11801058
bed_elevation + bed_slope,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope,2131.4536,0.136845
bed_elevation + bed_slope,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_roughness,2148.376,0.11733648
bed_elevation + bed_slope,bed_elevation + signed_distance_to_margin + bed_slope + bed_roughness,2115.57,0.15525648
bed_elevation + bed_slope,bed_elevation + distance_to_coast + bed_slope + bed_roughness,2138.8726,0.12970394
bed_elevation + bed_slope,signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2145.2937,0.12412286
bed_elevation + bed_slope,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2149.4917,0.11590582
bed_elevation + bed_roughness,None,2116.749,0.1482121
bed_elevation + bed_roughness,bed_elevation,2112.775,0.15522861
bed_elevation + bed_roughness,signed_distance_to_margin,2047.9037,0.22122827
bed_elevation + bed_roughness,distance_to_coast,2141.7998,0.12240139
bed_elevation + bed_roughness,bed_slope,2131.722,0.13753489
bed_elevation + bed_roughness,bed_roughness,2124.9001,0.14126065
bed_elevation + bed_roughness,bed_elevation + signed_distance_to_margin,2108.913,0.15887329
bed_elevation + bed_roughness,bed_elevation + distance_to_coast,2126.6492,0.13954043
bed_elevation + bed_roughness,bed_elevation + bed_slope,2119.8293,0.15213263
bed_elevation + bed_roughness,bed_elevation + bed_roughness,2118.9324,0.15226701
bed_elevation + bed_roughness,signed_distance_to_margin + distance_to_coast,2063.564,0.20664611
bed_elevation + bed_roughness,signed_distance_to_margin + bed_slope,2072.6484,0.20047817
bed_elevation + bed_roughness,signed_distance_to_margin + bed_roughness,2061.047,0.20969665
bed_elevation + bed_roughness,distance_to_coast + bed_slope,2157.9612,0.11013347
bed_elevation + bed_roughness,distance_to_coast + bed_roughness,2144.759,0.12237075
bed_elevation + bed_roughness,bed_slope + bed_roughness,2132.6357,0.13708067
bed_elevation + bed_roughness,bed_elevation + signed_distance_to_margin + distance_to_coast,2141.815,0.1236943
bed_elevation + bed_roughness,bed_elevation + signed_distance_to_margin + bed_slope,2112.7646,0.15666214
bed_elevation + bed_roughness,bed_elevation + signed_distance_to_margin + bed_roughness,2107.4297,0.16215998
bed_elevation + bed_roughness,bed_elevation + distance_to_coast + bed_slope,2132.176,0.13661698
bed_elevation + bed_roughness,bed_elevation + distance_to_coast + bed_roughness,2128.1868,0.13971895
bed_elevation + bed_roughness,bed_elevation + bed_slope + bed_roughness,2120.588,0.15152928
bed_elevation + bed_roughness,signed_distance_to_margin + distance_to_coast + bed_slope,2090.5598,0.18494493
bed_elevation + bed_roughness,signed_distance_to_margin + distance_to_coast + bed_roughness,2142.7014,0.12506458
bed_elevation + bed_roughness,signed_distance_to_margin + bed_slope + bed_roughness,2086.5527,0.18669486
bed_elevation + bed_roughness,distance_to_coast + bed_slope + bed_roughness,2152.1943,0.11704907
bed_elevation + bed_roughness,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope,2130.2646,0.13856906
bed_elevation + bed_roughness,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_roughness,2147.2754,0.118667126
bed_elevation + bed_roughness,bed_elevation + signed_distance_to_margin + bed_slope + bed_roughness,2108.3672,0.16064084
bed_elevation + bed_roughness,bed_elevation + distance_to_coast + bed_slope + bed_roughness,2130.4648,0.13857245
bed_elevation + bed_roughness,signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2150.186,0.11901006
bed_elevation + bed_roughness,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2177.9917,0.08663744
signed_distance_to_margin + distance_to_coast,None,1983.9647,0.24351376
signed_distance_to_margin + distance_to_coast,bed_elevation,1952.0996,0.2690053
signed_distance_to_margin + distance_to_coast,signed_distance_to_margin,1985.178,0.24281263
signed_distance_to_margin + distance_to_coast,distance_to_coast,1972.194,0.25000092
signed_distance_to_margin + distance_to_coast,bed_slope,1978.0828,0.24869946
signed_distance_to_margin + distance_to_coast,bed_roughness,1980.3123,0.2458883
signed_distance_to_margin + distance_to_coast,bed_elevation + signed_distance_to_margin,1965.4629,0.25532854
signed_distance_to_margin + distance_to_coast,bed_elevation + distance_to_coast,1985.4133,0.23407942
signed_distance_to_margin + distance_to_coast,bed_elevation + bed_slope,1959.176,0.2629046
signed_distance_to_margin + distance_to_coast,bed_elevation + bed_roughness,1956.5759,0.26489148
signed_distance_to_margin + distance_to_coast,signed_distance_to_margin + distance_to_coast,2001.7267,0.22557873
signed_distance_to_margin + distance_to_coast,signed_distance_to_margin + bed_slope,1981.2202,0.24563819
